M_Kibibytes,Lanes,Batch_Size,TE_Threads_Per_Block,TE_Blocks,TE_Total_Threads,Time_Cost,Mean_CT,Mean_Deviation_CT,Mean_HT,Mean_Deviation_HT,TE_Upper_Thread_Limit
3906252,4,1,128,1,128,1,1.057695 s,8.824250 ms,1.057695 s,8.824250 ms,70656
3906252,4,2,128,2,256,1,1.050633 s,236.892000 us,525.316690 ms,118.446000 us,70656
3906252,4,3,128,3,384,1,1.053856 s,401.384000 us,351.285356 ms,133.794000 us,70656
3906252,4,4,128,4,512,1,2.366614 s,3.229070 ms,591.653612 ms,807.267000 us,70656
3906252,4,5,,,,1,,,,,70656
3906252,4,6,,,,1,,,,,70656
3906252,4,7,,,,1,,,,,70656
3906252,4,8,,,,1,,,,,70656
3906252,4,9,,,,1,,,,,70656
3906252,4,10,,,,1,,,,,70656
